Symbol,Date,Close
NVDA,1/22/99,1.640625
NVDA,1/25/99,1.8125
NVDA,1/26/99,1.671875
NVDA,1/27/99,1.666667
NVDA,1/28/99,1.661458
NVDA,1/29/99,1.583333
NVDA,2/1/99,1.614583
NVDA,2/2/99,1.489583
NVDA,2/3/99,1.520833
NVDA,2/4/99,1.604167
NVDA,2/5/99,1.651042
NVDA,2/8/99,1.59375
NVDA,2/9/99,1.53125
NVDA,2/10/99,1.515625
NVDA,2/11/99,1.645833
NVDA,2/12/99,1.739583
NVDA,2/16/99,1.75
NVDA,2/17/99,1.65625
NVDA,2/18/99,1.682292
NVDA,2/19/99,1.739583
NVDA,2/22/99,1.75
NVDA,2/23/99,1.833333
NVDA,2/24/99,1.979167
NVDA,2/25/99,1.916667
NVDA,2/26/99,1.828125
NVDA,3/1/99,1.838542
NVDA,3/2/99,1.822917
NVDA,3/3/99,1.697917
NVDA,3/4/99,1.661458
NVDA,3/5/99,1.755208
NVDA,3/8/99,1.78125
NVDA,3/9/99,1.838542
NVDA,3/10/99,1.807292
NVDA,3/11/99,1.729167
NVDA,3/12/99,1.697917
NVDA,3/15/99,1.770833
NVDA,3/16/99,1.713542
NVDA,3/17/99,1.723958
NVDA,3/18/99,1.744792
NVDA,3/19/99,1.75
NVDA,3/22/99,1.697917
NVDA,3/23/99,1.59375
NVDA,3/24/99,1.583333
NVDA,3/25/99,1.604167
NVDA,3/26/99,1.744792
NVDA,3/29/99,1.796875
NVDA,3/30/99,1.645833
NVDA,3/31/99,1.760417
NVDA,4/1/99,1.708333
NVDA,4/5/99,1.65625
NVDA,4/6/99,1.614583
NVDA,4/7/99,1.75
NVDA,4/8/99,1.78125
NVDA,4/9/99,1.75
NVDA,4/12/99,1.677083
NVDA,4/13/99,1.609375
NVDA,4/14/99,1.5625
NVDA,4/15/99,1.604167
NVDA,4/16/99,1.65625
NVDA,4/19/99,1.583333
NVDA,4/20/99,1.552083
NVDA,4/21/99,1.578125
NVDA,4/22/99,1.510417
NVDA,4/23/99,1.4375
NVDA,4/26/99,1.364583
NVDA,4/27/99,1.510417
NVDA,4/28/99,1.5
NVDA,4/29/99,1.5
NVDA,4/30/99,1.520833
NVDA,5/3/99,1.53125
NVDA,5/4/99,1.447917
NVDA,5/5/99,1.479167
NVDA,5/6/99,1.450521
NVDA,5/7/99,1.458333
NVDA,5/10/99,1.458333
NVDA,5/11/99,1.536458
NVDA,5/12/99,1.583333
NVDA,5/13/99,1.583333
